"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2303","should enable the 'export', 'review' and 'delete' options and hide the 'edit' option in Report tab when a NON XML report is opened.","","Wed Sep 24 12:29:12 UTC 2025","passed","Wed Sep 24 12:29:14 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are messages, contacts and people created","",""
"","1729","should log in using username and password fields","","Wed Sep 24 12:21:49 UTC 2025","passed","Wed Sep 24 12:21:50 UTC 2025","","Login page functionality tests: Log in","",""
"","3002","should not show on subsequent login","","Wed Sep 24 12:34:05 UTC 2025","passed","Wed Sep 24 12:34:08 UTC 2025","","Privacy policy: for an online user","",""
"","17209","should enable the 'edit' option and hide the 'export' and 'delete' options when a contact is opened","","Wed Sep 24 12:26:27 UTC 2025","passed","Wed Sep 24 12:26:44 UTC 2025","","More Options Menu - Offline User - Delete permissions disabled: Contact Tab","",""
"","3147","should show if the user changes their language","","Wed Sep 24 12:33:51 UTC 2025","passed","Wed Sep 24 12:33:54 UTC 2025","","Privacy policy: for an offline user","",""
"","535","should open Reports or History tab","","Wed Sep 24 12:32:00 UTC 2025","passed","Wed Sep 24 12:32:01 UTC 2025","","Navigation tests: Navigation functionality","",""
"","3653","should show if the user policy changes","","Wed Sep 24 12:33:54 UTC 2025","passed","Wed Sep 24 12:33:57 UTC 2025","","Privacy policy: for an offline user","",""
"","4085","should enable the 'edit' and 'review' option and hide the 'export' and 'delete' options when the xml report is opened","","Wed Sep 24 12:26:45 UTC 2025","passed","Wed Sep 24 12:26:49 UTC 2025","","More Options Menu - Offline User - Delete permissions disabled: Report tab","",""
"","307","should change locale to Spanish","","Wed Sep 24 12:21:43 UTC 2025","passed","Wed Sep 24 12:21:44 UTC 2025","","Login page functionality tests: Locale","",""
"","1893","should hide the 'export' and 'edit' options and disable the 'delete' option when no contact is opened","","Wed Sep 24 12:25:17 UTC 2025","passed","Wed Sep 24 12:25:19 UTC 2025","","More Options Menu - Offline User: All permissions enabled: Contact tab","",""
"","494","should open Analytics tab","","Wed Sep 24 12:32:01 UTC 2025","passed","Wed Sep 24 12:32:02 UTC 2025","","Navigation tests: Navigation functionality","",""
"","3437","should require username","","Wed Sep 24 12:30:36 UTC 2025","passed","Wed Sep 24 12:30:40 UTC 2025","","User Test Cases ->: Invalid entries -> ","",""
"","2103","should hide the 'export' option and enable the 'edit' and 'delete' options when a contact is opened","","Wed Sep 24 12:25:19 UTC 2025","passed","Wed Sep 24 12:25:21 UTC 2025","","More Options Menu - Offline User: All permissions enabled: Contact tab","",""
"","3500","should display the ""session expired"" modal and redirect to login page","","Wed Sep 24 12:21:54 UTC 2025","passed","Wed Sep 24 12:21:58 UTC 2025","","Login page functionality tests: Log in","",""
"","1059","should successfully sync","","Wed Sep 24 12:33:20 UTC 2025","passed","Wed Sep 24 12:33:22 UTC 2025","","Old Navigation","",""
"","1400","should not display privacy policy page when the privacy policy is not enabled","","Wed Sep 24 12:33:27 UTC 2025","passed","Wed Sep 24 12:33:29 UTC 2025","","Privacy Policy Navigation for Unauthenticated Users","",""
"","4678","enketo xpath extension function should display correct values when Nepali is not selected","","Wed Sep 24 12:24:01 UTC 2025","passed","Wed Sep 24 12:24:05 UTC 2025","","Bikram Sambat date display","",""
"","75","should display when navigating to the privacy policy page","","Wed Sep 24 12:33:43 UTC 2025","passed","Wed Sep 24 12:33:43 UTC 2025","","Privacy policy: for an offline user","",""
"","2192","should show in enabled language list","","Wed Sep 24 12:24:25 UTC 2025","passed","Wed Sep 24 12:24:27 UTC 2025","","Adding new language","",""
"","982","should work with botched translations","","Wed Sep 24 12:23:49 UTC 2025","passed","Wed Sep 24 12:23:50 UTC 2025","","MessageFormat","",""
"","3622","should not show on subsequent login","","Wed Sep 24 12:33:43 UTC 2025","passed","Wed Sep 24 12:33:47 UTC 2025","","Privacy policy: for an offline user","",""
"","7941","should disable a language and enable another","","Wed Sep 24 12:23:15 UTC 2025","passed","Wed Sep 24 12:23:23 UTC 2025","","Enabling/disabling languages","",""
"","803","should navigate to the People section and open the created Health Center","","Wed Sep 24 12:33:19 UTC 2025","passed","Wed Sep 24 12:33:20 UTC 2025","","Old Navigation","",""
"","1340","should verify current password cannot be same as new password","","Wed Sep 24 12:22:21 UTC 2025","passed","Wed Sep 24 12:22:22 UTC 2025","","Login page functionality tests: Password Reset","",""
"","775","should display an error when accessing with random strings","","Wed Sep 24 12:23:04 UTC 2025","passed","Wed Sep 24 12:23:05 UTC 2025","","Token login","",""
"","900","should not create feedback docs when loading missing reports or people","","Wed Sep 24 12:32:48 UTC 2025","passed","Wed Sep 24 12:32:49 UTC 2025","","Navigation tests: Navigation view: as chw","",""
"","1397","should navigate to the Task section and open the first task listed","","Wed Sep 24 12:33:17 UTC 2025","passed","Wed Sep 24 12:33:18 UTC 2025","","Old Navigation","",""
"","2543","should navigate to the Messages section and open a sent message","","Wed Sep 24 12:33:14 UTC 2025","passed","Wed Sep 24 12:33:17 UTC 2025","","Old Navigation","",""
"","5482","should hide the 'export' option and enable the 'edit', 'delete' and 'review' options when a report is opened","","Wed Sep 24 12:27:59 UTC 2025","passed","Wed Sep 24 12:28:04 UTC 2025","","More Options Menu - Online User - Permissions disabled: Export permissions disabled","",""
"","4668","should hide and reveal password value, and add user with a revealed password","","Wed Sep 24 12:30:09 UTC 2025","passed","Wed Sep 24 12:30:14 UTC 2025","","User Test Cases ->: Creating Users ->","",""
"","440","should change locale to French","","Wed Sep 24 12:21:42 UTC 2025","passed","Wed Sep 24 12:21:42 UTC 2025","","Login page functionality tests: Locale","",""
"","74","should display tab labels, when some tabs are enabled","","Wed Sep 24 12:32:48 UTC 2025","passed","Wed Sep 24 12:32:48 UTC 2025","","Navigation tests: Navigation view: as chw","",""
"","3565","TestCase for Passwords must match","","Wed Sep 24 12:30:26 UTC 2025","passed","Wed Sep 24 12:30:29 UTC 2025","","User Test Cases ->: Invalid entries -> ","",""
"","5625","enketo xpath extension function should display correct values when Nepali is selected","","Wed Sep 24 12:24:05 UTC 2025","passed","Wed Sep 24 12:24:11 UTC 2025","","Bikram Sambat date display","",""
"","2848","should show french policy on secondary login","","Wed Sep 24 12:34:08 UTC 2025","passed","Wed Sep 24 12:34:11 UTC 2025","","Privacy policy: for an online user","",""
"","1637","should display an error when token is expired","","Wed Sep 24 12:23:05 UTC 2025","passed","Wed Sep 24 12:23:07 UTC 2025","","Token login","",""
"","1040","should open Report bug","","Wed Sep 24 12:31:49 UTC 2025","passed","Wed Sep 24 12:31:50 UTC 2025","","Hamburger Menu tests","",""
"","15908","should hide the kebab menu.","","Wed Sep 24 12:27:14 UTC 2025","passed","Wed Sep 24 12:27:30 UTC 2025","","More Options Menu - Offline User - Edit permissions disabled: Contact tab","",""
"","3445","TestCase for required","","Wed Sep 24 12:30:33 UTC 2025","passed","Wed Sep 24 12:30:36 UTC 2025","","User Test Cases ->: Invalid entries -> ","",""
"","2885","should show a warning before log out","","Wed Sep 24 12:21:45 UTC 2025","passed","Wed Sep 24 12:21:48 UTC 2025","","Login page functionality tests: Log out","",""
"","4144","should show an upload summary with a successful upload and a failed upload","","Wed Sep 24 12:29:34 UTC 2025","passed","Wed Sep 24 12:29:38 UTC 2025","","Bulk User Creation ->","",""
"","2030","should hide the 'edit', 'delete' and 'review' options and enable the 'export' option when a report is opened","","Wed Sep 24 12:28:45 UTC 2025","passed","Wed Sep 24 12:28:47 UTC 2025","","More Options Menu - Online User - Permissions disabled: Edit permissions disabled","",""
"","1003","should show if the user changes their language","","Wed Sep 24 12:34:11 UTC 2025","passed","Wed Sep 24 12:34:12 UTC 2025","","Privacy policy: for an online user","",""
"","3554","should show french policy on secondary login","","Wed Sep 24 12:33:47 UTC 2025","passed","Wed Sep 24 12:33:51 UTC 2025","","Privacy policy: for an offline user","",""
"","1930","should enable the 'export', 'review', 'edit' and 'delete' options in Report tab when a XML report is opened.","","Wed Sep 24 12:29:15 UTC 2025","passed","Wed Sep 24 12:29:17 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are messages, contacts and people created","",""
"","4376","should require user to have permission for multiple places","","Wed Sep 24 12:30:41 UTC 2025","passed","Wed Sep 24 12:30:46 UTC 2025","","User Test Cases ->: Invalid entries -> ","",""
"","2852","should redirect to login page when session is expired","","Wed Sep 24 12:31:36 UTC 2025","passed","Wed Sep 24 12:31:39 UTC 2025","","bfcache: webapp","",""
"","3989","should not fail due to document conflict for new offline user","","Wed Sep 24 12:34:19 UTC 2025","passed","Wed Sep 24 12:34:23 UTC 2025","","Privacy policy: conflicts","",""
"","4876","should show access error when accessing as an offline user","","Wed Sep 24 12:21:25 UTC 2025","passed","Wed Sep 24 12:21:30 UTC 2025","","Acessing the admin app","",""
"","3404","should hide the 'delete' option and enable the 'edit', 'export' and 'review' options when a report is opened","","Wed Sep 24 12:28:23 UTC 2025","passed","Wed Sep 24 12:28:27 UTC 2025","","More Options Menu - Online User - Permissions disabled: Delete permissions disabled","",""
"","3739","TestCase for The password must be at least 8 characters long.","","Wed Sep 24 12:30:18 UTC 2025","passed","Wed Sep 24 12:30:22 UTC 2025","","User Test Cases ->: Invalid entries -> ","",""
"","13277","should add new translations","","Wed Sep 24 12:24:30 UTC 2025","passed","Wed Sep 24 12:24:43 UTC 2025","","Adding new language","",""
"","182","should display when navigating to the privacy policy page","","Wed Sep 24 12:34:05 UTC 2025","passed","Wed Sep 24 12:34:05 UTC 2025","","Privacy policy: for an online user","",""
"","1538","should disable the 'export' option and hide the 'edit' and 'delete' options in Contact tab","","Wed Sep 24 12:28:57 UTC 2025","passed","Wed Sep 24 12:28:58 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are no messages, contacts or people created","",""
"","1724","should display report list dates converted to bikram sambat","","Wed Sep 24 12:24:11 UTC 2025","passed","Wed Sep 24 12:24:13 UTC 2025","","Bikram Sambat date display","",""
"","4151","should add sso user","","Wed Sep 24 12:30:14 UTC 2025","passed","Wed Sep 24 12:30:18 UTC 2025","","User Test Cases ->: Creating Users ->","",""
"","486","should open About","","Wed Sep 24 12:31:47 UTC 2025","passed","Wed Sep 24 12:31:48 UTC 2025","","Hamburger Menu tests","",""
"","2300","should display partners","","Wed Sep 24 12:31:11 UTC 2025","passed","Wed Sep 24 12:31:13 UTC 2025","","About page","",""
"","1798","should set correct cookies","","Wed Sep 24 12:21:51 UTC 2025","passed","Wed Sep 24 12:21:53 UTC 2025","","Login page functionality tests: Log in","",""
"","1379","should hide the 'edit' and 'delete' options and enable the 'export' option when a contact is opened","","Wed Sep 24 12:28:44 UTC 2025","passed","Wed Sep 24 12:28:45 UTC 2025","","More Options Menu - Online User - Permissions disabled: Edit permissions disabled","",""
"","3021","should redirect to the app page when session is valid","","Wed Sep 24 12:31:33 UTC 2025","passed","Wed Sep 24 12:31:36 UTC 2025","","bfcache: login page","",""
"","392","should hide the kebab menu on the Message tab","","Wed Sep 24 12:28:04 UTC 2025","passed","Wed Sep 24 12:28:05 UTC 2025","","More Options Menu - Online User - Permissions disabled: Export permissions disabled","",""
"","788","should hide the kebab menu.","","Wed Sep 24 12:25:15 UTC 2025","passed","Wed Sep 24 12:25:16 UTC 2025","","More Options Menu - Offline User: All permissions enabled: Message tab","",""
"","788","should redirect to login when not logged in","","Wed Sep 24 12:21:23 UTC 2025","passed","Wed Sep 24 12:21:24 UTC 2025","","Acessing the admin app","",""
"","1469","should show the correct privacy policy on login","","Wed Sep 24 12:34:03 UTC 2025","passed","Wed Sep 24 12:34:04 UTC 2025","","Privacy policy: for an online user","",""
"","3188","should quit training in modal, and be able to complete it later in the Training Material page, verify completed trainings display in the list","","Wed Sep 24 12:31:23 UTC 2025","passed","Wed Sep 24 12:31:26 UTC 2025","","Training Materials Page","",""
"","361","should have a title","","Wed Sep 24 12:21:59 UTC 2025","passed","Wed Sep 24 12:22:00 UTC 2025","","Login page functionality tests: Log in","",""
"","2459","should be set as Default language ","","Wed Sep 24 12:24:27 UTC 2025","passed","Wed Sep 24 12:24:30 UTC 2025","","Adding new language","",""
"","764","should display plurals correctly","","Wed Sep 24 12:23:48 UTC 2025","passed","Wed Sep 24 12:23:49 UTC 2025","","MessageFormat","",""
"","880","should not show on refresh","","Wed Sep 24 12:34:04 UTC 2025","passed","Wed Sep 24 12:34:05 UTC 2025","","Privacy policy: for an online user","",""
"","404","should not show on refresh","","Wed Sep 24 12:33:43 UTC 2025","passed","Wed Sep 24 12:33:43 UTC 2025","","Privacy policy: for an offline user","",""
"","4228","should enable the 'export' option and hide the 'edit' and 'delete' options in Contact tab when none of the contacts is opened.","","Wed Sep 24 12:29:21 UTC 2025","passed","Wed Sep 24 12:29:25 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are messages, contacts and people created","",""
"","2141","should redirect to login page when session is expired","","Wed Sep 24 12:31:39 UTC 2025","passed","Wed Sep 24 12:31:41 UTC 2025","","bfcache: admin app","",""
"","518","should try to sign in with blank auth and verify that credentials were incorrect","","Wed Sep 24 12:22:02 UTC 2025","passed","Wed Sep 24 12:22:03 UTC 2025","","Login page functionality tests: Log in","",""
"","7583","should allow a new user to read/write from meta db","","Wed Sep 24 12:29:44 UTC 2025","passed","Wed Sep 24 12:29:52 UTC 2025","","Create user meta db : ","",""
"","2356","should revisit completed trainings and load uncompleted trainings","","Wed Sep 24 12:31:26 UTC 2025","passed","Wed Sep 24 12:31:28 UTC 2025","","Training Materials Page","",""
"","1523","should require place and contact for restricted user","","Wed Sep 24 12:30:40 UTC 2025","passed","Wed Sep 24 12:30:41 UTC 2025","","User Test Cases ->: Invalid entries -> ","",""
"","1454","SMS report shows bsAggreDate type as date field correctly","","Wed Sep 24 12:24:15 UTC 2025","passed","Wed Sep 24 12:24:17 UTC 2025","","Bikram Sambat date display","",""
"","1486","should show if the user policy changes","","Wed Sep 24 12:34:12 UTC 2025","passed","Wed Sep 24 12:34:14 UTC 2025","","Privacy policy: for an online user","",""
"","1629","should verify confirm password is missing","","Wed Sep 24 12:22:13 UTC 2025","passed","Wed Sep 24 12:22:15 UTC 2025","","Login page functionality tests: Password Reset","",""
"","3517","should reset password successfully and redirect to webapp","","Wed Sep 24 12:22:25 UTC 2025","passed","Wed Sep 24 12:22:29 UTC 2025","","Login page functionality tests: Password Reset","",""
"","12529","should work with incorrect locale","","Wed Sep 24 12:23:27 UTC 2025","passed","Wed Sep 24 12:23:40 UTC 2025","","Testing Incorrect locale","",""
"","3861","should allow admins to access the page","","Wed Sep 24 12:21:31 UTC 2025","passed","Wed Sep 24 12:21:35 UTC 2025","","Acessing the admin app","",""
"","1396","SMS report shows bsDate type as date field correctly","","Wed Sep 24 12:24:14 UTC 2025","passed","Wed Sep 24 12:24:15 UTC 2025","","Bikram Sambat date display","",""
"","5258","should add user with multiple places with permission","","Wed Sep 24 12:30:04 UTC 2025","passed","Wed Sep 24 12:30:09 UTC 2025","","User Test Cases ->: Creating Users ->","",""
"","1356","should verify password strength","","Wed Sep 24 12:22:16 UTC 2025","passed","Wed Sep 24 12:22:17 UTC 2025","","Login page functionality tests: Password Reset","",""
"","1781","should hide the 'export' and 'edit' options and disable the 'delete' option when the offline user's place is selected","","Wed Sep 24 12:25:22 UTC 2025","passed","Wed Sep 24 12:25:24 UTC 2025","","More Options Menu - Offline User: All permissions enabled: Contact tab","",""
"","411","should open tasks tab","","Wed Sep 24 12:32:00 UTC 2025","passed","Wed Sep 24 12:32:00 UTC 2025","","Navigation tests: Navigation functionality","",""
"","1819","should hide the 'delete' option and enable the 'edit' and 'export' options when a contact is opened","","Wed Sep 24 12:28:21 UTC 2025","passed","Wed Sep 24 12:28:23 UTC 2025","","More Options Menu - Online User - Permissions disabled: Delete permissions disabled","",""
"","2135","should enable the 'export' option in Message tab.","","Wed Sep 24 12:29:08 UTC 2025","passed","Wed Sep 24 12:29:11 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are messages, contacts and people created","",""
"","23550","should support deleting translations","","Wed Sep 24 12:24:43 UTC 2025","passed","Wed Sep 24 12:25:06 UTC 2025","","Adding new language","",""
"","1708","should hide the 'export' option and enable the 'edit' and 'delete' options when a contact is opened","","Wed Sep 24 12:27:57 UTC 2025","passed","Wed Sep 24 12:27:59 UTC 2025","","More Options Menu - Online User - Permissions disabled: Export permissions disabled","",""
"","2200","should hide and reveal password value, and login with a revealed password","","Wed Sep 24 12:22:05 UTC 2025","passed","Wed Sep 24 12:22:08 UTC 2025","","Login page functionality tests: Log in","",""
"","1383","should render user details","","Wed Sep 24 12:31:01 UTC 2025","passed","Wed Sep 24 12:31:03 UTC 2025","","User Test Cases ->: Editing User ->","",""
"","3581","TestCase for The password is too easy to guess.","","Wed Sep 24 12:30:22 UTC 2025","passed","Wed Sep 24 12:30:26 UTC 2025","","User Test Cases ->: Invalid entries -> ","",""
"","633","should open User settings","","Wed Sep 24 12:31:48 UTC 2025","passed","Wed Sep 24 12:31:49 UTC 2025","","Hamburger Menu tests","",""
"","1002","should disable the 'export' option in Message tab","","Wed Sep 24 12:28:54 UTC 2025","passed","Wed Sep 24 12:28:55 UTC 2025","","More Options Menu - Online User - Permissions enabled: Options displayed when there are no messages, contacts or people created","",""
"","539","should navigate to the Targets section, and open a target aggregate","","Wed Sep 24 12:33:20 UTC 2025","passed","Wed Sep 24 12:33:20 UTC 2025","","Old Navigation","",""
"","1148","should convert contact summary dates to bikram sambat when language is Nepali","","Wed Sep 24 12:24:13 UTC 2025","passed","Wed Sep 24 12:24:14 UTC 2025","","Bikram Sambat date display","",""
"","1289","should verify password and confirm password mismatch","","Wed Sep 24 12:22:23 UTC 2025","passed","Wed Sep 24 12:22:24 UTC 2025","","Login page functionality tests: Password Reset","",""
