"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1787","should set correct cookies","","Mon Jul 14 18:47:34 UTC 2025","passed","Mon Jul 14 18:47:35 UTC 2025","","Login page functionality tests: Log in","",""
"","341","should change locale to Spanish","","Mon Jul 14 18:47:25 UTC 2025","passed","Mon Jul 14 18:47:26 UTC 2025","","Login page functionality tests: Locale","",""
"","170","should show locale selector on login page","","Mon Jul 14 18:47:22 UTC 2025","passed","Mon Jul 14 18:47:23 UTC 2025","","Login page functionality tests: Locale","",""
"","721","should navigate to the Reports section and open the first report listed","","Mon Jul 14 18:46:35 UTC 2025","passed","Mon Jul 14 18:46:36 UTC 2025","","Old Navigation","",""
"","1338","should verify password strength","","Mon Jul 14 18:47:58 UTC 2025","passed","Mon Jul 14 18:47:59 UTC 2025","","Login page functionality tests: Password Reset","",""
"","3559","should hide the 'export' option and enable the 'edit' and 'delete' options when a contact is opened","","Mon Jul 14 18:45:37 UTC 2025","passed","Mon Jul 14 18:45:40 UTC 2025","","More Options Menu - Offline User: Contact tab","",""
"","2156","should navigate to the Messages section and open a sent message","","Mon Jul 14 18:46:32 UTC 2025","passed","Mon Jul 14 18:46:34 UTC 2025","","Old Navigation","",""
"","473","should try to sign in with blank auth and verify that credentials were incorrect","","Mon Jul 14 18:47:44 UTC 2025","passed","Mon Jul 14 18:47:44 UTC 2025","","Login page functionality tests: Log in","",""
"","2546","should display the ""session expired"" modal and redirect to login page","","Mon Jul 14 18:47:37 UTC 2025","passed","Mon Jul 14 18:47:39 UTC 2025","","Login page functionality tests: Log in","",""
"","362","should change locale to French","","Mon Jul 14 18:47:24 UTC 2025","passed","Mon Jul 14 18:47:24 UTC 2025","","Login page functionality tests: Locale","",""
"","2140","should display confirm message before navigating to different page","","Mon Jul 14 18:49:34 UTC 2025","passed","Mon Jul 14 18:49:36 UTC 2025","","Training Cards","",""
"","3171","Telemetry script is not blocked by Content Security Policy","","Mon Jul 14 18:45:25 UTC 2025","passed","Mon Jul 14 18:45:28 UTC 2025","","Content Security Policy","",""
"","849","should navigate to the People section and open the created Health Center","","Mon Jul 14 18:46:36 UTC 2025","passed","Mon Jul 14 18:46:37 UTC 2025","","Old Navigation","",""
"","2627","should hide the 'export' option and enable the 'edit', 'delete' and 'review' options when the xml report is opened","","Mon Jul 14 18:45:47 UTC 2025","passed","Mon Jul 14 18:45:50 UTC 2025","","More Options Menu - Offline User: Report tab","",""
"","1226","should successfully sync","","Mon Jul 14 18:46:37 UTC 2025","passed","Mon Jul 14 18:46:39 UTC 2025","","Old Navigation","",""
"","1404","should verify confirm password is missing","","Mon Jul 14 18:47:55 UTC 2025","passed","Mon Jul 14 18:47:56 UTC 2025","","Login page functionality tests: Password Reset","",""
"","7282","Should delete contact","","Mon Jul 14 18:45:13 UTC 2025","passed","Mon Jul 14 18:45:20 UTC 2025","","Delete Contacts","",""
"","761","should not display completed training","","Mon Jul 14 18:49:48 UTC 2025","passed","Mon Jul 14 18:49:49 UTC 2025","","Training Cards","",""
"","2833","should select, deselect and delete only selected reports","","Mon Jul 14 18:46:49 UTC 2025","passed","Mon Jul 14 18:46:52 UTC 2025","","Bulk delete reports","",""
"","2329","should load reports list when navigating from a report that was opened from reports tab","","Mon Jul 14 18:46:04 UTC 2025","passed","Mon Jul 14 18:46:06 UTC 2025","","Navigation","",""
"","451","should open Analytics tab","","Mon Jul 14 18:48:22 UTC 2025","passed","Mon Jul 14 18:48:22 UTC 2025","","Navigation tests: Navigation functionality","",""
"","1779","should not display training after it was canceled and the training doc was updated","","Mon Jul 14 18:49:38 UTC 2025","passed","Mon Jul 14 18:49:40 UTC 2025","","Training Cards","",""
"","2721","should show a warning before log out","","Mon Jul 14 18:47:27 UTC 2025","passed","Mon Jul 14 18:47:29 UTC 2025","","Login page functionality tests: Log out","",""
"","3875","should hide the 'export' and 'edit' options and enable the 'delete' and 'review' options when the sms report is opened","","Mon Jul 14 18:45:43 UTC 2025","passed","Mon Jul 14 18:45:47 UTC 2025","","More Options Menu - Offline User: Report tab","",""
"","899","should display option to send message","","Mon Jul 14 18:47:17 UTC 2025","passed","Mon Jul 14 18:47:18 UTC 2025","","Report - Send message action","",""
"","1407","should cancel training and not save it as completed","","Mon Jul 14 18:49:32 UTC 2025","passed","Mon Jul 14 18:49:34 UTC 2025","","Training Cards","",""
"","1654","should verify current password is not correct","","Mon Jul 14 18:48:00 UTC 2025","passed","Mon Jul 14 18:48:02 UTC 2025","","Login page functionality tests: Password Reset","",""
"","1697","should verify current password cannot be same as new password","","Mon Jul 14 18:48:03 UTC 2025","passed","Mon Jul 14 18:48:05 UTC 2025","","Login page functionality tests: Password Reset","",""
"","737","should open Messages tab","","Mon Jul 14 18:48:20 UTC 2025","passed","Mon Jul 14 18:48:20 UTC 2025","","Navigation tests: Navigation functionality","",""
