"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 22:16:48 UTC 2023","Thu Feb 16 22:16:49 UTC 2023","1283","","Navigation tests","","Navigation tests","should open Contacts or Peoples tab","should open Contacts or Peoples tab",""
"passed","Thu Feb 16 22:07:40 UTC 2023","Thu Feb 16 22:07:43 UTC 2023","3590","","RepeatForm: Repeat form with repeat button","","RepeatForm: Repeat form with repeat button","should display the initial form and its repeated content in English","should display the initial form and its repeated content in English",""
"passed","Thu Feb 16 22:12:30 UTC 2023","Thu Feb 16 22:12:34 UTC 2023","3264","","Token login","","Token login","should log the user in when token is correct","should log the user in when token is correct",""
"passed","Thu Feb 16 22:25:22 UTC 2023","Thu Feb 16 22:25:26 UTC 2023","4184","","Tasks group landing page: for chw","","Tasks group landing page: for chw","should display tasks group landing page after task completion","should display tasks group landing page after task completion",""
"passed","Thu Feb 16 22:17:31 UTC 2023","Thu Feb 16 22:17:42 UTC 2023","11083","","Privacy policy: for an offline user","","Privacy policy: for an offline user","should not show on subsequent login","should not show on subsequent login",""
"passed","Thu Feb 16 22:16:46 UTC 2023","Thu Feb 16 22:16:48 UTC 2023","1457","","Navigation tests","","Navigation tests","should open Reports or History tab","should open Reports or History tab",""
"passed","Thu Feb 16 22:25:54 UTC 2023","Thu Feb 16 22:25:57 UTC 2023","3011","","Tasks group landing page: for supervisor","","Tasks group landing page: for supervisor","should not display task landing page after task completion","should not display task landing page after task completion",""
"passed","Thu Feb 16 22:08:02 UTC 2023","Thu Feb 16 22:08:30 UTC 2023","27566","","Submit Default Delivery Report","","Submit Default Delivery Report","open, submit and edit (no changes) default delivery form","open, submit and edit (no changes) default delivery form",""
"passed","Thu Feb 16 22:22:26 UTC 2023","Thu Feb 16 22:22:32 UTC 2023","5693","","Service worker cache","","Service worker cache","login page translation updates trigger login page refresh","login page translation updates trigger login page refresh",""
"passed","Thu Feb 16 22:14:36 UTC 2023","Thu Feb 16 22:14:41 UTC 2023","4691","","Online User: Options disabled when no items - messages, contacts, people","","Online User: Options disabled when no items - messages, contacts, people","- Message tab","- Message tab",""
"passed","Thu Feb 16 22:04:36 UTC 2023","Thu Feb 16 22:04:38 UTC 2023","2169","","db-sync: meta db replication","","db-sync: meta db replication","should replicate meta db up","should replicate meta db up",""
"passed","Thu Feb 16 22:14:24 UTC 2023","Thu Feb 16 22:14:26 UTC 2023","1924","","- permissions disabled: - DELETE permissions disabled","","- permissions disabled: - DELETE permissions disabled"," - Contact Tab - contact selected"," - Contact Tab - contact selected",""
"passed","Thu Feb 16 22:07:36 UTC 2023","Thu Feb 16 22:07:40 UTC 2023","3355","","RepeatForm: Repeat form with repeat button","","RepeatForm: Repeat form with repeat button","should display the initial form and its repeated content in Swahili","should display the initial form and its repeated content in Swahili",""
"passed","Thu Feb 16 22:10:17 UTC 2023","Thu Feb 16 22:10:21 UTC 2023","4011","","Submit Z-Score form","","Submit Z-Score form","saves z-score values","saves z-score values",""
"passed","Thu Feb 16 21:56:08 UTC 2023","Thu Feb 16 21:56:34 UTC 2023","25446","","Create user for contacts: for an offline user","","Create user for contacts: for an offline user","does not assign new person as primary contact of parent place if original person was not primary","does not assign new person as primary contact of parent place if original person was not primary",""
"passed","Thu Feb 16 22:18:08 UTC 2023","Thu Feb 16 22:18:13 UTC 2023","4506","","Privacy policy: for an online user","","Privacy policy: for an online user","should not show on subsequent login","should not show on subsequent login",""
"passed","Thu Feb 16 22:17:03 UTC 2023","Thu Feb 16 22:17:08 UTC 2023","5645","","Guided tour","","Guided tour","run guided tour and change tab => should close the tour","run guided tour and change tab => should close the tour",""
"passed","Thu Feb 16 22:16:07 UTC 2023","Thu Feb 16 22:16:07 UTC 2023","350","","Online User:  - Options enabled when there are items","","Online User:  - Options enabled when there are items","- Message tab","- Message tab",""
"passed","Thu Feb 16 22:09:40 UTC 2023","Thu Feb 16 22:09:46 UTC 2023","5803","","Submit Enketo form","","Submit Enketo form","submits on reports tab","submits on reports tab",""
"passed","Thu Feb 16 21:54:27 UTC 2023","Thu Feb 16 21:54:38 UTC 2023","11087","","Targets","","Targets","should display targets from default config","should display targets from default config",""
"passed","Thu Feb 16 22:04:33 UTC 2023","Thu Feb 16 22:04:36 UTC 2023","2562","","db-sync","","db-sync","should filter ddocs","should filter ddocs",""
"passed","Thu Feb 16 22:27:28 UTC 2023","Thu Feb 16 22:27:31 UTC 2023","2206","","User Test Cases ->: Invalid entries -> ","","User Test Cases ->: Invalid entries -> ","should require place and contact for restricted user","should require place and contact for restricted user",""
"passed","Thu Feb 16 22:01:34 UTC 2023","Thu Feb 16 22:01:37 UTC 2023","3467","","Edit contacts with the default config. ","","Edit contacts with the default config. ","should remove the primary contact from the clinic when the contact is deleted","should remove the primary contact from the clinic when the contact is deleted",""
"passed","Thu Feb 16 22:07:27 UTC 2023","Thu Feb 16 22:07:28 UTC 2023","1645","","RepeatForm","","RepeatForm","""before all"" hook for RepeatForm","""before all"" hook for RepeatForm",""
"passed","Thu Feb 16 22:11:36 UTC 2023","Thu Feb 16 22:11:41 UTC 2023","4609","","Login and logout tests","","Login and logout tests","should log in using username and password fields","should log in using username and password fields",""
"passed","Thu Feb 16 21:55:42 UTC 2023","Thu Feb 16 21:56:08 UTC 2023","26147","","Create user for contacts: for an offline user","","Create user for contacts: for an offline user","creates a new user when the replace_user form is submitted while online","creates a new user when the replace_user form is submitted while online",""
"passed","Thu Feb 16 22:14:43 UTC 2023","Thu Feb 16 22:14:44 UTC 2023","999","","Online User:  - Contact tab - user has no contact ","","Online User:  - Contact tab - user has no contact "," - no contact selected"," - no contact selected",""
"passed","Thu Feb 16 21:54:13 UTC 2023","Thu Feb 16 21:54:21 UTC 2023","7768","","Acessing the admin app","","Acessing the admin app","should allow admins to access the page","should allow admins to access the page",""
"passed","Thu Feb 16 22:19:55 UTC 2023","Thu Feb 16 22:19:55 UTC 2023","598","","manifest.json","","manifest.json","works with custom branding doc","works with custom branding doc",""
"passed","Thu Feb 16 22:04:09 UTC 2023","Thu Feb 16 22:04:10 UTC 2023","1758","","Test Contact Search Functionality","","Test Contact Search Functionality","search should clear RHS selected contact","search should clear RHS selected contact",""
"passed","Thu Feb 16 22:24:48 UTC 2023","Thu Feb 16 22:24:58 UTC 2023","10033","","Tasks tab breadcrumbs: for supervisor","","Tasks tab breadcrumbs: for supervisor","should display correct tasks with breadcrumbs for supervisor","should display correct tasks with breadcrumbs for supervisor",""
"passed","Thu Feb 16 22:24:16 UTC 2023","Thu Feb 16 22:24:23 UTC 2023","7842","","Task list due dates","","Task list due dates","should display correct due dates with taskDaysOverdue setting and simple translation","should display correct due dates with taskDaysOverdue setting and simple translation",""
"passed","Thu Feb 16 22:26:27 UTC 2023","Thu Feb 16 22:26:28 UTC 2023","880","","Bikram Sambat date display","","Bikram Sambat date display","should convert contact summary dates to bikram sambat when language is Nepali","should convert contact summary dates to bikram sambat when language is Nepali",""
"passed","Thu Feb 16 22:12:49 UTC 2023","Thu Feb 16 22:12:51 UTC 2023","1543","","More Options Menu - Offline User: all permissions enabled","","More Options Menu - Offline User: all permissions enabled","- Message tab","- Message tab",""
"passed","Thu Feb 16 22:24:29 UTC 2023","Thu Feb 16 22:24:37 UTC 2023","7476","","Tasks tab breadcrumbs","","Tasks tab breadcrumbs","""before all"" hook for Tasks tab breadcrumbs","""before all"" hook for Tasks tab breadcrumbs",""
"passed","Thu Feb 16 21:58:25 UTC 2023","Thu Feb 16 21:58:42 UTC 2023","16799","","Create user for contacts: for an offline user","","Create user for contacts: for an offline user","does not create a new user or re-parent reports when the transition is disabled","does not create a new user or re-parent reports when the transition is disabled",""
"passed","Thu Feb 16 22:22:49 UTC 2023","Thu Feb 16 22:22:57 UTC 2023","8044","","Export Messages","","Export Messages","Should download export file","Should download export file",""
"passed","Thu Feb 16 22:26:29 UTC 2023","Thu Feb 16 22:26:32 UTC 2023","2776","","Bikram Sambat date display","","Bikram Sambat date display","SMS report shows bsAggreDate type as date field correctly","SMS report shows bsAggreDate type as date field correctly",""
"passed","Thu Feb 16 22:16:56 UTC 2023","Thu Feb 16 22:17:03 UTC 2023","6506","","Guided tour","","Guided tour","run and end guided tour => should close the tour","run and end guided tour => should close the tour",""
"passed","Thu Feb 16 22:12:11 UTC 2023","Thu Feb 16 22:12:16 UTC 2023","5332","","should renew token","","should renew token","Refresh page multiple times and verify token gets renewed","Refresh page multiple times and verify token gets renewed",""
"passed","Thu Feb 16 22:05:30 UTC 2023","Thu Feb 16 22:05:31 UTC 2023","765","","Submit a death report","","Submit a death report","Should verify that the counter for the Deaths was updated.","Should verify that the counter for the Deaths was updated.",""
"passed","Thu Feb 16 21:59:21 UTC 2023","Thu Feb 16 21:59:30 UTC 2023","9581","","Creating custom places","","Creating custom places","the LHS add place button should show the appropriate title","the LHS add place button should show the appropriate title",""
"passed","Thu Feb 16 22:00:07 UTC 2023","Thu Feb 16 22:00:16 UTC 2023","8845","","Creating custom places","","Creating custom places","should show the multi add person button with the correct title","should show the multi add person button with the correct title",""
"passed","Thu Feb 16 22:22:42 UTC 2023","Thu Feb 16 22:22:43 UTC 2023","779","","Service worker cache","","Service worker cache","should load the page while offline","should load the page while offline",""
"passed","Thu Feb 16 22:12:22 UTC 2023","Thu Feb 16 22:12:26 UTC 2023","4173","","Token login","","Token login","should redirect the user to the app if already logged in","should redirect the user to the app if already logged in",""
"passed","Thu Feb 16 22:11:22 UTC 2023","Thu Feb 16 22:11:25 UTC 2023","3099","","Login and logout tests","","Login and logout tests","should show locale selector on login page","should show locale selector on login page",""
"passed","Thu Feb 16 22:27:12 UTC 2023","Thu Feb 16 22:27:16 UTC 2023","4009","","User Test Cases ->: Invalid entries -> ","","User Test Cases ->: Invalid entries -> ","TestCase for Passwords must match","TestCase for Passwords must match",""
"passed","Thu Feb 16 22:26:46 UTC 2023","Thu Feb 16 22:26:50 UTC 2023","4252","","Adding new language","","Adding new language","should add new translations","should add new translations",""
"passed","Thu Feb 16 22:04:29 UTC 2023","Thu Feb 16 22:04:30 UTC 2023","1527","","db-sync","","db-sync","should not filter deletes","should not filter deletes",""
"passed","Thu Feb 16 22:17:55 UTC 2023","Thu Feb 16 22:18:00 UTC 2023","4401","","Privacy policy: for an offline user","","Privacy policy: for an offline user","should show if the user policy changes","should show if the user policy changes",""
"passed","Thu Feb 16 22:27:16 UTC 2023","Thu Feb 16 22:27:24 UTC 2023","8782","","User Test Cases ->: Invalid entries -> ","","User Test Cases ->: Invalid entries -> ","TestCase for required","TestCase for required",""
"passed","Thu Feb 16 22:16:08 UTC 2023","Thu Feb 16 22:16:08 UTC 2023","655","","Online User:  - Options enabled when there are items","","Online User:  - Options enabled when there are items"," - Contact Tab  - contact selected"," - Contact Tab  - contact selected",""
"passed","Thu Feb 16 22:23:34 UTC 2023","Thu Feb 16 22:23:43 UTC 2023","8934","","Message tab breadcrumbs","","Message tab breadcrumbs","should display messages with updated breadcrumbs for offline user","should display messages with updated breadcrumbs for offline user",""
"passed","Thu Feb 16 21:59:50 UTC 2023","Thu Feb 16 21:59:58 UTC 2023","8731","","Creating custom places","","Creating custom places","the RHS add place button should show the add place title","the RHS add place button should show the add place title",""
"passed","Thu Feb 16 22:11:41 UTC 2023","Thu Feb 16 22:11:45 UTC 2023","4566","","Login and logout tests","","Login and logout tests","should set correct cookies","should set correct cookies",""
"passed","Thu Feb 16 22:24:37 UTC 2023","Thu Feb 16 22:24:48 UTC 2023","11335","","Tasks tab breadcrumbs: for chw","","Tasks tab breadcrumbs: for chw","should display correct tasks with breadcrumbs for chw","should display correct tasks with breadcrumbs for chw",""
"passed","Thu Feb 16 22:13:48 UTC 2023","Thu Feb 16 22:14:10 UTC 2023","22279","","- EDIT permissions disabled","","- EDIT permissions disabled"," - Contact Tab - contact selected"," - Contact Tab - contact selected",""
"passed","Thu Feb 16 22:27:36 UTC 2023","Thu Feb 16 22:27:43 UTC 2023","6898","","Bulk User Creation ->","","Bulk User Creation ->","should show an upload summary with a successful upload and a failed upload","should show an upload summary with a successful upload and a failed upload",""
"passed","Thu Feb 16 22:22:38 UTC 2023","Thu Feb 16 22:22:42 UTC 2023","3969","","Service worker cache","","Service worker cache","other translation updates do not trigger a login page refresh","other translation updates do not trigger a login page refresh",""
"passed","Thu Feb 16 22:25:26 UTC 2023","Thu Feb 16 22:25:28 UTC 2023","2189","","Tasks group landing page: for chw","","Tasks group landing page: for chw","should open task from the same group","should open task from the same group",""
"passed","Thu Feb 16 22:10:03 UTC 2023","Thu Feb 16 22:10:06 UTC 2023","3452","","Submit Photo Upload form","","Submit Photo Upload form","submit and edit (with changes)","submit and edit (with changes)",""
"passed","Thu Feb 16 22:16:33 UTC 2023","Thu Feb 16 22:16:34 UTC 2023","687","","Hamburger Menu tests","","Hamburger Menu tests","should open Report bug","should open Report bug",""
"passed","Thu Feb 16 22:12:58 UTC 2023","Thu Feb 16 22:13:13 UTC 2023","14851","","More Options Menu - Offline User: all permissions disabled","","More Options Menu - Offline User: all permissions disabled"," - all tabs, kebab menu not available"," - all tabs, kebab menu not available",""
"passed","Thu Feb 16 22:03:20 UTC 2023","Thu Feb 16 22:03:26 UTC 2023","6086","","Create new lineage structure","","Create new lineage structure","should edit the name of the CHW area","should edit the name of the CHW area",""
"passed","Thu Feb 16 22:05:58 UTC 2023","Thu Feb 16 22:06:14 UTC 2023","15350","","Contact Delivery Form","","Contact Delivery Form","Complete a delivery: Process a delivery with a live child and facility birth.","Complete a delivery: Process a delivery with a live child and facility birth.",""
"passed","Thu Feb 16 22:23:08 UTC 2023","Thu Feb 16 22:23:09 UTC 2023","903","","sms-gateway api: - api returns list of pending WO messages","","sms-gateway api: - api returns list of pending WO messages","- returns list and updates state","- returns list and updates state",""
"passed","Thu Feb 16 22:14:41 UTC 2023","Thu Feb 16 22:14:42 UTC 2023","1222","","Online User: Options disabled when no items - messages, contacts, people","","Online User: Options disabled when no items - messages, contacts, people"," - Contact tab"," - Contact tab",""
"passed","Thu Feb 16 22:21:17 UTC 2023","Thu Feb 16 22:21:22 UTC 2023","4710","","generating short codes","","generating short codes","create case ID","create case ID",""
"passed","Thu Feb 16 22:25:04 UTC 2023","Thu Feb 16 22:25:12 UTC 2023","7861","","Tasks group landing page","","Tasks group landing page","""before all"" hook for Tasks group landing page","""before all"" hook for Tasks group landing page",""
"passed","Thu Feb 16 22:18:22 UTC 2023","Thu Feb 16 22:18:38 UTC 2023","15966","","Privacy policy: conflicts","","Privacy policy: conflicts","should not fail due to document conflict for new offline user","should not fail due to document conflict for new offline user",""
"passed","Thu Feb 16 22:16:49 UTC 2023","Thu Feb 16 22:16:50 UTC 2023","1291","","Navigation tests","","Navigation tests","should open Analytics tab","should open Analytics tab",""
"passed","Thu Feb 16 22:13:18 UTC 2023","Thu Feb 16 22:13:41 UTC 2023","22379","","- DELETE permissions disabled","","- DELETE permissions disabled"," - Contact Tab - delete contact selected"," - Contact Tab - delete contact selected",""
"passed","Thu Feb 16 21:54:45 UTC 2023","Thu Feb 16 21:54:49 UTC 2023","4239","","Targets","","Targets","should display correct message when targets are disabled","should display correct message when targets are disabled",""
"passed","Thu Feb 16 22:16:33 UTC 2023","Thu Feb 16 22:16:33 UTC 2023","199","","Hamburger Menu tests","","Hamburger Menu tests","should open User settings","should open User settings",""
"passed","Thu Feb 16 22:18:00 UTC 2023","Thu Feb 16 22:18:07 UTC 2023","6849","","Privacy policy: for an online user","","Privacy policy: for an online user","should show the correct privacy policy on login","should show the correct privacy policy on login",""
"passed","Thu Feb 16 22:11:25 UTC 2023","Thu Feb 16 22:11:28 UTC 2023","2968","","Login and logout tests","","Login and logout tests","should change locale to French","should change locale to French",""
"passed","Thu Feb 16 22:02:43 UTC 2023","Thu Feb 16 22:02:44 UTC 2023","926","","Mute/Unmute contacts using a specific form.","","Mute/Unmute contacts using a specific form.","Should show a popup when trying to submit a non-unmuting form against a muted contact","Should show a popup when trying to submit a non-unmuting form against a muted contact",""
"passed","Thu Feb 16 22:20:07 UTC 2023","Thu Feb 16 22:20:17 UTC 2023","9588","","Reports tab breadcrumbs","","Reports tab breadcrumbs","should display reports with updated breadcrumbs for offline user","should display reports with updated breadcrumbs for offline user",""
"passed","Thu Feb 16 22:16:34 UTC 2023","Thu Feb 16 22:16:36 UTC 2023","2215","","Hamburger Menu tests","","Hamburger Menu tests","should open Configuration app","should open Configuration app",""
"passed","Thu Feb 16 22:12:26 UTC 2023","Thu Feb 16 22:12:27 UTC 2023","974","","Token login","","Token login","should display an error with incorrect url","should display an error with incorrect url",""
"passed","Thu Feb 16 22:26:58 UTC 2023","Thu Feb 16 22:27:03 UTC 2023","5420","","User Test Cases ->: Creating Users ->","","User Test Cases ->: Creating Users ->","should add user with valid password","should add user with valid password",""
"passed","Thu Feb 16 22:21:57 UTC 2023","Thu Feb 16 22:22:08 UTC 2023","10528","","Service worker cache","","Service worker cache","confirm initial list of cached resources","confirm initial list of cached resources",""
"passed","Thu Feb 16 22:17:14 UTC 2023","Thu Feb 16 22:17:30 UTC 2023","16061","","Privacy policy: for an offline user","","Privacy policy: for an offline user","should show the correct privacy policy on login","should show the correct privacy policy on login",""
"passed","Thu Feb 16 22:18:13 UTC 2023","Thu Feb 16 22:18:17 UTC 2023","4818","","Privacy policy: for an online user","","Privacy policy: for an online user","should show french policy on secondary login","should show french policy on secondary login",""
"passed","Thu Feb 16 22:17:30 UTC 2023","Thu Feb 16 22:17:31 UTC 2023","572","","Privacy policy: for an offline user","","Privacy policy: for an offline user","should display when navigating to the privacy policy page","should display when navigating to the privacy policy page",""
"passed","Thu Feb 16 22:05:02 UTC 2023","Thu Feb 16 22:05:29 UTC 2023","27113","","Submit a death report","","Submit a death report","Should submit a death report","Should submit a death report",""
"broken","Thu Feb 16 22:14:44 UTC 2023","Thu Feb 16 22:16:07 UTC 2023","82425","","Online User:  - Options enabled when there are items","","Online User:  - Options enabled when there are items","- Reports tab - Edit/export invisible when NON XML report selected","- Reports tab - Edit/export invisible when NON XML report selected",""
"passed","Thu Feb 16 22:20:23 UTC 2023","Thu Feb 16 22:20:29 UTC 2023","6719","","Bulk delete reports","","Bulk delete reports","should select, deselect and delete only selected reports","should select, deselect and delete only selected reports",""
"passed","Thu Feb 16 22:18:19 UTC 2023","Thu Feb 16 22:18:22 UTC 2023","2707","","Privacy policy: for an online user","","Privacy policy: for an online user","should show if the user policy changes","should show if the user policy changes",""
"passed","Thu Feb 16 22:00:59 UTC 2023","Thu Feb 16 22:01:10 UTC 2023","11197","","Contact details page: Permissions to show reports and tasks","","Contact details page: Permissions to show reports and tasks","should not show reports when permission is disabled","should not show reports when permission is disabled",""
"passed","Thu Feb 16 22:23:15 UTC 2023","Thu Feb 16 22:23:20 UTC 2023","5417","","Link SMS to patient without passing id","","Link SMS to patient without passing id","Send SMS without patient_id and report created under person","Send SMS without patient_id and report created under person",""
"passed","Thu Feb 16 22:18:08 UTC 2023","Thu Feb 16 22:18:08 UTC 2023","636","","Privacy policy: for an online user","","Privacy policy: for an online user","should display when navigating to the privacy policy page","should display when navigating to the privacy policy page",""
"passed","Thu Feb 16 22:01:10 UTC 2023","Thu Feb 16 22:01:15 UTC 2023","4765","","Contact details page: Permissions to show reports and tasks","","Contact details page: Permissions to show reports and tasks","should not show tasks when permission is disabled","should not show tasks when permission is disabled",""
"passed","Thu Feb 16 22:12:28 UTC 2023","Thu Feb 16 22:12:30 UTC 2023","2043","","Token login","","Token login","should display an error when token is expired","should display an error when token is expired",""
"passed","Thu Feb 16 22:01:21 UTC 2023","Thu Feb 16 22:01:34 UTC 2023","13209","","Edit contacts with the default config. ","","Edit contacts with the default config. ","should edit contact name","should edit contact name",""
"passed","Thu Feb 16 22:23:49 UTC 2023","Thu Feb 16 22:24:09 UTC 2023","19714","","Task list due dates","","Task list due dates","should display correct due dates with default settings","should display correct due dates with default settings",""
"passed","Thu Feb 16 22:26:22 UTC 2023","Thu Feb 16 22:26:26 UTC 2023","3118","","Bikram Sambat date display","","Bikram Sambat date display","enketo xpath extension function should display correct values when Nepali is selected","enketo xpath extension function should display correct values when Nepali is selected",""
"passed","Thu Feb 16 22:06:35 UTC 2023","Thu Feb 16 22:06:46 UTC 2023","10713","","Pregnancy danger sign follow-up form","","Pregnancy danger sign follow-up form","should submit and edit Pregnancy danger sign follow-up form with changes","should submit and edit Pregnancy danger sign follow-up form with changes",""
"passed","Thu Feb 16 22:14:20 UTC 2023","Thu Feb 16 22:14:23 UTC 2023","2600","","- permissions disabled: - export permissions disabled","","- permissions disabled: - export permissions disabled"," - Contact Tab - contact selected"," - Contact Tab - contact selected",""
"passed","Thu Feb 16 22:25:44 UTC 2023","Thu Feb 16 22:25:54 UTC 2023","9998","","Tasks group landing page: for supervisor","","Tasks group landing page: for supervisor","should have tasks","should have tasks",""
"broken","Thu Feb 16 22:08:30 UTC 2023","Thu Feb 16 22:09:34 UTC 2023","64484","","Submit Default Delivery Report","","Submit Default Delivery Report","open, submit and edit default delivery form","open, submit and edit default delivery form",""
"passed","Thu Feb 16 22:02:49 UTC 2023","Thu Feb 16 22:02:54 UTC 2023","4693","","Create new lineage structure","","Create new lineage structure","Create new health center","Create new health center",""
"passed","Thu Feb 16 21:54:55 UTC 2023","Thu Feb 16 21:55:07 UTC 2023","12566","","Create user for contacts","","Create user for contacts","does not create a new user when the replace_user form is submitted for online user","does not create a new user when the replace_user form is submitted for online user",""
"passed","Thu Feb 16 22:02:23 UTC 2023","Thu Feb 16 22:02:43 UTC 2023","19921","","Mute/Unmute contacts using a specific form.","","Mute/Unmute contacts using a specific form.","Should unmute a contact using the defined unmute_forms (undo_death_report).","Should unmute a contact using the defined unmute_forms (undo_death_report).",""
"passed","Thu Feb 16 22:06:52 UTC 2023","Thu Feb 16 22:06:59 UTC 2023","7400","","Pregnancy Visit","","Pregnancy Visit","Submit and validate Pregnancy Visit form and keeps the report minified","Submit and validate Pregnancy Visit form and keeps the report minified",""
"passed","Thu Feb 16 22:17:30 UTC 2023","Thu Feb 16 22:17:30 UTC 2023","705","","Privacy policy: for an offline user","","Privacy policy: for an offline user","should not show on refresh","should not show on refresh",""
