"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7324","Does not create a new user when the transition fails","","Tue Aug 05 19:53:48 UTC 2025","passed","Tue Aug 05 19:53:55 UTC 2025","","Create user when adding contact","",""
"","35302","other translation updates do not trigger a login page refresh","","Tue Aug 05 19:51:33 UTC 2025","passed","Tue Aug 05 19:52:08 UTC 2025","","Service worker cache","",""
"","0","should mute a clinic and unmute a patient while ""offline"", without processing in between","","Tue Aug 05 19:52:16 UTC 2025","skipped","Tue Aug 05 19:52:16 UTC 2025","","Muting: for an offline user","",""
"","0","should mute and unmute a clinic while ""offline"", without processing in between","","Tue Aug 05 19:52:16 UTC 2025","skipped","Tue Aug 05 19:52:16 UTC 2025","","Muting: for an offline user","",""
"","15388","Creates a new user while offline","","Tue Aug 05 19:52:20 UTC 2025","passed","Tue Aug 05 19:52:36 UTC 2025","","Create user when adding contact","",""
"","0","should mute and unmute a person while ""offline"", with processing in between","","Tue Aug 05 19:52:16 UTC 2025","skipped","Tue Aug 05 19:52:16 UTC 2025","","Muting: for an offline user","",""
"","12453","does not create a new user or re-parent reports when the transition is disabled","","Tue Aug 05 19:57:54 UTC 2025","passed","Tue Aug 05 19:58:06 UTC 2025","","Create user for contacts: user replace: for an offline user","",""
"","0","should work with composite forms","","Tue Aug 05 19:52:16 UTC 2025","skipped","Tue Aug 05 19:52:16 UTC 2025","","Muting: for an offline user","",""
"","309","confirm fetch yields cached result","","Tue Aug 05 19:52:09 UTC 2025","passed","Tue Aug 05 19:52:09 UTC 2025","","Service worker cache","",""
"","21890","Does not create a new user when the transition is disabled","","Tue Aug 05 19:53:08 UTC 2025","passed","Tue Aug 05 19:53:30 UTC 2025","","Create user when adding contact","",""
"","40942","creates new user for the first version of a contact to sync and conflicting replacements ignored","","Tue Aug 05 19:57:10 UTC 2025","passed","Tue Aug 05 19:57:51 UTC 2025","","Create user for contacts: user replace: for an offline user","",""
"","10168","does not create a new user when the replace_user form is submitted for online user","","Tue Aug 05 19:54:35 UTC 2025","passed","Tue Aug 05 19:54:45 UTC 2025","","Create user for contacts: user replace","",""
"","0","should handle offline multiple muting/unmuting events gracefully","","Tue Aug 05 19:52:16 UTC 2025","skipped","Tue Aug 05 19:52:16 UTC 2025","","Muting: for an offline user","",""
